Date/Time, 2020-06-03_07:51
200,91.09
800,94.23
1600,95.16
800,94.73
200,90.59
400,92.61
100,87.74
100,87.99
400,92.35
1600,95.46
200,91.99
400,92.81
100,89.86
800,94.39
800,94.56
1600,95.06
1600,94.94
100,87.35
400,92.98
200,90.57
100,87.41
400,93.05
100,87.01
200,92.33
800,94.68
800,94.34
200,90.65
1600,95.31
400,92.54
1600,95.30
100,89.35
400,92.86
100,88.17
1600,94.93
200,91.62
800,94.47
200,92.01
1600,95.14
400,92.51
800,94.19
100,91.15
1600,94.99
800,94.09
200,91.63
400,92.85
200,91.59
100,88.40
400,93.06
800,94.25
1600,95.11
100,88.40
400,93.26
200,90.83
1600,94.98
800,94.05
200,91.69
800,94.46
100,88.44
1600,95.25
400,92.94
100,88.38
200,91.00
400,93.27
800,94.52
100,88.92
200,91.70
400,92.57
1600,95.18
800,94.24
1600,95.14
100,87.84
400,93.25
800,94.20
200,91.76
100,90.62
400,92.99
1600,94.94
200,91.85
800,94.18
1600,94.90
100,90.58
400,93.42
800,94.06
200,91.65
100,86.61
1600,95.12
200,91.36
800,94.24
1600,95.15
400,93.00
100,89.55
200,91.64
100,87.34
800,94.08
400,92.66
1600,95.00
200,91.70
800,94.32
400,92.25
1600,95.22
100,87.86
200,91.22
400,93.11
100,88.71
1600,95.26
800,94.21
200,90.91
1600,95.19
400,92.91
800,94.40
100,88.42
200,90.94
800,94.18
200,91.49
1600,95.16
400,93.43
100,87.63
400,93.30
1600,95.21
800,94.52
100,87.51
200,90.63
400,93.04
800,94.34
1600,95.39
100,88.67
200,90.55
800,94.68
400,93.46
1600,95.17
100,88.22
200,90.85
800,94.44
400,92.71
1600,95.05
100,88.03
200,91.57
800,94.57
400,93.31
1600,95.10
100,88.27
200,90.65
400,93.01
800,94.35
1600,95.35
200,91.57
100,89.55
400,92.60
800,94.52
1600,95.07
100,88.52
200,91.69
400,92.40
800,94.35
200,90.62
100,90.09
1600,95.11
400,93.25
800,94.62
1600,95.12
100,88.50
400,92.87
1600,95.00
200,91.67
100,86.74
800,93.71
400,92.64
200,91.68
800,94.52
1600,95.26
100,88.33
200,91.88
800,94.32
400,93.34
1600,95.29
200,91.52
100,87.80
800,94.25
400,92.74
1600,95.08
100,90.12
200,91.14
400,93.56
100,87.28
800,94.46
1600,95.27
200,90.73
800,94.39
400,93.28
1600,95.05
100,88.98
400,92.46
800,94.61
200,92.26
1600,95.13
100,88.80
200,91.72
800,93.90
400,92.74
1600,94.96
100,88.33
200,91.16
400,92.77
200,90.08
1600,94.90
800,94.40
100,88.12
800,94.31
400,92.39
1600,95.33
100,87.62
200,90.99
400,93.14
100,87.19
800,94.57
1600,95.30
200,91.65
400,93.13
800,94.26
1600,95.08
100,89.08
200,90.73
400,93.35
100,88.65
800,94.31
1600,95.36
200,91.17
400,93.50
800,94.05
1600,95.25
100,87.65
200,90.05
400,92.95
800,94.15
100,86.33
1600,95.45
200,91.30
800,94.71
400,93.39
1600,95.01
100,87.63
200,92.27
800,94.48
400,92.38
100,90.55
1600,95.21
200,91.02
400,92.62
800,94.11
1600,95.22
100,87.62
400,93.14
200,91.84
800,94.63
200,91.25
1600,94.92
100,89.02
400,93.18
800,94.09
1600,95.35
100,87.91
200,90.56
800,94.07
400,92.67
1600,95.03
100,88.96
200,91.90
800,94.08
400,92.76
1600,95.02
100,90.18
200,91.78
200,90.84
800,93.90
400,92.45
100,87.04
1600,94.92
400,92.63
1600,95.31
800,94.14
100,90.02
200,90.30
400,92.68
800,94.27
200,91.50
100,88.77
1600,95.26
400,92.93
800,94.31
1600,95.35
200,91.86
100,88.81
1600,95.18
400,92.71
800,94.45
100,89.16
200,92.23
400,92.64
800,94.61
1600,95.42
100,89.44
800,94.38
200,90.84
400,93.04
100,86.06
200,90.21
1600,95.12
400,93.08
800,94.48
1600,95.07
100,89.22
200,91.13
400,92.89
800,94.43
200,90.93
100,88.41
1600,95.10
400,93.17
1600,95.13
800,94.52
100,89.14
400,92.49
800,94.34
200,91.70
100,87.58
1600,95.41
200,91.00
400,92.46
1600,95.27
800,94.08
100,90.06
200,92.01
400,93.08
1600,95.37
800,94.51
100,88.71
200,91.14
800,94.51
400,93.35
1600,95.29
100,88.84
200,91.71
400,92.42
800,94.20
1600,95.36
200,90.66
100,90.22
400,93.31
800,94.45
1600,95.17
100,88.12
800,94.42
200,91.49
400,93.10
1600,95.17
100,88.18
200,91.51
400,93.30
800,94.41
1600,95.14
100,89.61
400,92.48
200,91.08
800,94.26
100,89.82
1600,95.29
200,91.75
800,94.04
400,93.22
1600,95.20
100,86.90
400,92.38
200,91.51
800,94.01
100,88.10
1600,95.19
200,91.35
400,93.12
800,94.49
1600,95.34
100,88.69
200,91.35
400,93.36
800,94.14
1600,95.24
100,89.02
200,91.71
400,92.84
800,94.32
1600,95.28
100,87.36
400,92.98
800,93.96
200,91.15
1600,95.12
100,87.34
400,93.23
200,89.92
800,94.54
1600,95.42
200,90.97
100,89.25
800,94.20
400,92.50
1600,95.40
400,92.93
100,87.60
200,90.77
1600,95.27
800,94.35
200,91.17
800,93.45
100,87.26
400,93.17
1600,95.34
100,87.40
200,90.96
400,92.83
1600,95.42
800,94.16
200,90.93
100,87.92
400,92.93
1600,95.00
800,94.58
100,87.89
400,93.47
200,90.87
1600,95.16
800,93.89
200,91.43
100,86.22
400,93.27
800,94.16
1600,95.44
100,88.16
200,92.13
800,93.70
400,93.30
1600,95.06
200,90.84
100,87.66
400,93.19
800,94.33
1600,94.88
100,89.43
800,94.10
200,91.78
1600,94.91
400,92.89
200,91.09
100,89.06
400,92.96
800,94.39
1600,95.36
400,93.02
100,89.34
800,94.42
1600,95.16
200,91.12
100,88.99
200,91.24
400,92.71
800,94.48
1600,95.18
100,89.07
200,90.81
400,93.73
800,94.08
1600,95.11
200,91.97
100,87.19
400,93.17
800,94.41
1600,95.34
200,90.88
100,89.76
800,94.52
400,92.82
1600,95.44
100,89.84
200,91.27
400,92.90
800,93.88
1600,94.85
100,88.46
400,92.49
200,90.00
1600,95.33
800,94.68
100,88.60
200,91.07
400,92.87
800,94.49
1600,94.84
100,87.16
800,94.34
400,93.10
200,90.51
1600,95.24
